"GEO_ID","NAME","B28002_001E","B28002_001M","B28002_002E","B28002_002M","B28002_003E","B28002_003M","B28002_004E","B28002_004M","B28002_005E","B28002_005M","B28002_006E","B28002_006M","B28002_007E","B28002_007M","B28002_008E","B28002_008M","B28002_009E","B28002_009M","B28002_010E","B28002_010M","B28002_011E","B28002_011M","B28002_012E","B28002_012M","B28002_013E","B28002_013M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With an Internet subscription","Margin of Error!!Total:!!With an Internet subscription","Estimate!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Broadband of any type","Margin of Error!!Total:!!With an Internet subscription!!Broadband of any type","Estimate!!Total:!!With an Internet subscription!!Cellular data plan","Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan","Estimate!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Satellite Internet service","Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service","Estimate!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription","Estimate!!Total:!!Internet access without a subscription","Margin of Error!!Total:!!Internet access without a subscription","Estimate!!Total:!!No Internet access","Margin of Error!!Total:!!No Internet access",
"0500000US12073","Leon County, Florida","116283","2781","103567","3245","0","234","103567","3245","94918","3372","11000","1792","91115","3157","8269","1603","3305","764","277","204","62","106","1870","639","10846","1882",
"0500000US12081","Manatee County, Florida","145171","4572","127898","4933","228","197","127670","4947","114369","5183","9436","1666","115833","4818","12199","1917","4572","1033","430","326","0","234","6546","1706","10727","2007",
"0500000US12083","Marion County, Florida","145622","4007","128369","3925","767","581","127602","3961","110982","4776","12890","2033","102553","4150","13335","2378","14153","2012","1401","565","0","234","3024","1387","14229","2474",
"0500000US12085","Martin County, Florida","65014","2055","57042","2405","0","234","57042","2405","50899","2436","7150","1526","47107","2620","5388","1295","4252","1747","408","333","0","234","2078","742","5894","1570",
"0500000US12086","Miami-Dade County, Florida","912805","5898","734249","8380","860","392","733389","8457","648967","8508","98913","5986","617503","9877","77151","5701","61976","4167","2813","1004","863","640","39731","3983","138825","5410",
"0500000US12087","Monroe County, Florida","32839","2048","27954","1946","41","69","27913","1948","18241","1562","2071","592","25138","1889","9540","1481","1714","339","0","234","0","234","1173","679","3712","906",
"0500000US12089","Nassau County, Florida","35212","1465","31963","1488","0","234","31963","1488","29834","1591","6849","1573","22597","1692","1671","645","3845","1028","151","126","66","114","713","528","2536","845",
"0500000US12091","Okaloosa County, Florida","76097","2603","67954","2663","502","636","67452","2776","59324","2981","5283","1293","59809","2664","7677","1510","3822","1199","142","174","0","234","2017","886","6126","1542",
"0500000US12095","Orange County, Florida","457949","6978","413364","7483","316","206","413048","7472","393908","7419","48037","4441","355835","8746","17091","2305","22977","2711","1002","604","230","209","8549","2003","36036","4123",
"0500000US12097","Osceola County, Florida","111539","4304","97333","4716","393","312","96940","4723","86056","4990","12679","3086","81655","4757","10717","2321","6468","1643","101","132","0","234","3378","1474","10828","2644",
"0500000US12099","Palm Beach County, Florida","568915","6021","499502","6669","1016","491","498486","6544","443857","6656","64280","4330","419603","7297","48144","3705","34543","3098","2785","974","342","343","18236","2211","51177","4590",
"0500000US12101","Pasco County, Florida","212856","4410","185233","4617","300","211","184933","4586","153011","4943","18883","2215","158614","4197","30353","3386","9495","1532","897","488","148","201","8323","1545","19300","2534",
"0500000US12103","Pinellas County, Florida","395286","6581","344729","6071","542","280","344187","6065","312638","6107","40610","3641","299265","6047","29204","2487","12666","1838","1090","568","151","163","12489","1821","38068","3826",
"0500000US12105","Polk County, Florida","238629","5267","195796","5648","1167","644","194629","5568","179500","5704","36301","3408","151611","5498","13055","1816","10563","1333","1073","485","77","91","5619","1512","37214","3206",
"0500000US12107","Putnam County, Florida","30866","1415","25775","1619","111","196","25664","1635","22091","1780","5571","1189","16809","1655","2773","709","3384","933","393","279","259","259","187","153","4904","1141",
"0500000US12109","St. Johns County, Florida","94761","2990","85382","2960","77","129","85305","2944","77318","3055","8457","1701","75006","3102","7726","1878","6064","1584","172","162","0","234","3631","1520","5748","1242",
"0500000US12111","St. Lucie County, Florida","116900","4160","104250","3763","139","161","104111","3747","98626","3861","8757","1728","91308","4020","5183","1282","9366","1831","158","199","0","234","1575","583","11075","2124",
"0500000US12113","Santa Rosa County, Florida","66187","2766","60713","2752","200","197","60513","2734","55237","3000","6811","1343","50025","2758","4549","1280","6708","1489","467","327","0","234","960","607","4514","1125",
"0500000US12115","Sarasota County, Florida","187411","4122","166108","4440","251","213","165857","4414","150345","4618","20431","1926","141817","4247","13866","2301","6774","1452","569","315","40","67","6204","1615","15099","2499",
"0500000US12117","Seminole County, Florida","181142","2623","167476","3180","201","194","167275","3179","157400","3456","10323","1873","154195","3456","8869","1565","8511","1711","508","298","100","164","2297","854","11369","1860",
"0500000US12119","Sumter County, Florida","59458","3085","53212","2985","50","89","53162","2982","45775","3009","4201","1121","47218","2842","6053","1727","4806","1312","187","186","0","234","966","582","5280","1688",
"0500000US12127","Volusia County, Florida","219451","3752","187621","4855","450","276","187171","4783","160895","4973","41193","3946","127877","4217","23366","3000","10723","1290","1260","516","698","595","4306","981","27524","3513",
"0500000US12131","Walton County, Florida","26475","2685","22514","2400","63","104","22451","2413","20409","2443","2358","937","18514","2185","1947","860","2352","841","95","115","0","234","525","427","3436","1157",
